GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0070588	calcium ion transmembrane transport	52	6	0.26	2.4e-07	1.192e-04	P	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110	GLR33_ARATH, ACA9_ARATH, CAX3_ARATH, ACA10_ARATH, GLR32_ARATH, ACA8_ARATH
GO:0007275	multicellular organismal development	2794	35	14.07	2.5e-07	1.192e-04	P	AT1G01550, AT1G03870, AT1G08090, AT1G08465, AT1G12950, AT1G14720, AT1G19180, AT1G23080, AT1G67290, AT1G68090, AT1G69500, AT1G70940, AT1G75390, AT2G01420, AT2G07050, AT2G25110, AT2G25930, AT2G35940, AT3G05970, AT3G18830, AT3G21180, AT3G28917, AT3G51550, AT4G02380, AT4G18710, AT4G30200, AT4G30960, AT4G37470, AT5G04340, AT5G18080, AT5G24470, AT5G26751, AT5G49180, AT5G54380, AT5G57660	BPS1_ARATH, FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, PIN7_ARATH, GLOX1_ARATH, ANXD5_ARATH, C70B1_ARATH, PIN3_ARATH, BZP44_ARATH, PIN4_ARATH, CAS1_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, LACS6_ARATH, PLT5_ARATH, ACA9_ARATH, MIF2_ARATH, FERON_ARATH, SAG21_ARATH, KSG7_ARATH, VIL2_ARATH, CIPK6_ARATH, KAI2_ARATH, ZAT6_ARATH, SAU24_ARATH, APRR5_ARATH, KSG1_ARATH, PME58_ARATH, THE1_ARATH, COL5_ARATH
GO:0010411	xyloglucan metabolic process	54	6	0.27	3.1e-07	1.364e-04	P	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810	XTH33_ARATH, XTH28_ARATH, XTH30_ARATH, XTH15_ARATH, XTH29_ARATH, XTH23_ARATH
GO:0032501	multicellular organismal process	3011	36	15.16	4.9e-07	2.002e-04	P	AT1G01550, AT1G03870, AT1G08090, AT1G08465, AT1G12950, AT1G14720, AT1G19180, AT1G23080, AT1G67290, AT1G68090, AT1G69500, AT1G70940, AT1G75390, AT2G01420, AT2G07050, AT2G25110, AT2G25930, AT2G35940, AT3G05970, AT3G18830, AT3G21180, AT3G28917, AT3G51550, AT4G02380, AT4G18710, AT4G30200, AT4G30960, AT4G37470, AT5G04340, AT5G18080, AT5G24470, AT5G26751, AT5G49180, AT5G54380, AT5G57660, AT5G62680	BPS1_ARATH, FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, PIN7_ARATH, GLOX1_ARATH, ANXD5_ARATH, C70B1_ARATH, PIN3_ARATH, BZP44_ARATH, PIN4_ARATH, CAS1_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, LACS6_ARATH, PLT5_ARATH, ACA9_ARATH, MIF2_ARATH, FERON_ARATH, SAG21_ARATH, KSG7_ARATH, VIL2_ARATH, CIPK6_ARATH, KAI2_ARATH, ZAT6_ARATH, SAU24_ARATH, APRR5_ARATH, KSG1_ARATH, PME58_ARATH, THE1_ARATH, COL5_ARATH, PTR53_ARATH
GO:0009725	response to hormone	1655	25	8.33	6.9e-07	2.631e-04	P	AT1G19180, AT1G23080, AT1G42540, AT1G44170, AT1G70810, AT1G70940, AT1G76180, AT2G01420, AT2G14960, AT2G25930, AT2G35940, AT2G36830, AT3G01220, AT3G18040, AT3G20770, AT3G51550, AT3G58680, AT4G02380, AT4G18710, AT4G35100, AT4G37760, AT5G18080, AT5G43700, AT5G54380, AT5G65980	TI10A_ARATH, PIN7_ARATH, GLR33_ARATH, AL3H1_ARATH, CAR7_ARATH, PIN3_ARATH, ERD14_ARATH, PIN4_ARATH, GH31_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, ATB20_ARATH, MPK9_ARATH, EIN3_ARATH, FERON_ARATH, MBF1B_ARATH, SAG21_ARATH, KSG7_ARATH, PIP27_ARATH, ERG16_ARATH, SAU24_ARATH, IAA4_ARATH, THE1_ARATH, PILS7_ARATH
GO:0006816	calcium ion transport	63	6	0.32	7.8e-07	2.789e-04	P	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110	GLR33_ARATH, ACA9_ARATH, CAX3_ARATH, ACA10_ARATH, GLR32_ARATH, ACA8_ARATH
GO:0055085	transmembrane transport	1130	20	5.69	9.7e-07	3.264e-04	P	AT1G08090, AT1G12950, AT1G23080, AT1G42540, AT1G70940, AT2G01420, AT2G03590, AT2G36830, AT3G18830, AT3G21180, AT3G51860, AT3G51895, AT4G15920, AT4G29900, AT4G35100, AT4G35290, AT5G38030, AT5G49630, AT5G57110, AT5G65980	NRT21_ARATH, DTX31_ARATH, PIN7_ARATH, GLR33_ARATH, PIN3_ARATH, PIN4_ARATH, UPS1_ARATH, TIP11_ARATH, PLT5_ARATH, ACA9_ARATH, CAX3_ARATH, SUT31_ARATH, SWT17_ARATH, ACA10_ARATH, PIP27_ARATH, GLR32_ARATH, DTX30_ARATH, AAP6_ARATH, ACA8_ARATH, PILS7_ARATH
GO:0044767	single-organism developmental process	3255	37	16.39	1.1e-06	3.496e-04	P	AT1G01550, AT1G03870, AT1G08090, AT1G08465, AT1G12950, AT1G14720, AT1G19180, AT1G23080, AT1G67290, AT1G68090, AT1G69500, AT1G70940, AT1G75390, AT2G01420, AT2G07050, AT2G25110, AT2G25930, AT2G35940, AT3G05970, AT3G18830, AT3G21180, AT3G28917, AT3G51550, AT4G02380, AT4G18710, AT4G30200, AT4G30960, AT4G37470, AT4G38400, AT5G04340, AT5G15580, AT5G18080, AT5G24470, AT5G26751, AT5G49180, AT5G54380, AT5G57660	BPS1_ARATH, FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, PIN7_ARATH, GLOX1_ARATH, ANXD5_ARATH, C70B1_ARATH, PIN3_ARATH, BZP44_ARATH, PIN4_ARATH, CAS1_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, LACS6_ARATH, PLT5_ARATH, ACA9_ARATH, MIF2_ARATH, FERON_ARATH, SAG21_ARATH, KSG7_ARATH, VIL2_ARATH, CIPK6_ARATH, KAI2_ARATH, EXLA2_ARATH, ZAT6_ARATH, LNG1_ARATH, SAU24_ARATH, APRR5_ARATH, KSG1_ARATH, PME58_ARATH, THE1_ARATH, COL5_ARATH
GO:0032502	developmental process	3324	37	16.74	1.9e-06	5.720e-04	P	AT1G01550, AT1G03870, AT1G08090, AT1G08465, AT1G12950, AT1G14720, AT1G19180, AT1G23080, AT1G67290, AT1G68090, AT1G69500, AT1G70940, AT1G75390, AT2G01420, AT2G07050, AT2G25110, AT2G25930, AT2G35940, AT3G05970, AT3G18830, AT3G21180, AT3G28917, AT3G51550, AT4G02380, AT4G18710, AT4G30200, AT4G30960, AT4G37470, AT4G38400, AT5G04340, AT5G15580, AT5G18080, AT5G24470, AT5G26751, AT5G49180, AT5G54380, AT5G57660	BPS1_ARATH, FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, PIN7_ARATH, GLOX1_ARATH, ANXD5_ARATH, C70B1_ARATH, PIN3_ARATH, BZP44_ARATH, PIN4_ARATH, CAS1_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, LACS6_ARATH, PLT5_ARATH, ACA9_ARATH, MIF2_ARATH, FERON_ARATH, SAG21_ARATH, KSG7_ARATH, VIL2_ARATH, CIPK6_ARATH, KAI2_ARATH, EXLA2_ARATH, ZAT6_ARATH, LNG1_ARATH, SAU24_ARATH, APRR5_ARATH, KSG1_ARATH, PME58_ARATH, THE1_ARATH, COL5_ARATH
GO:0070887	cellular response to chemical stimulus	1197	20	6.03	2.3e-06	6.578e-04	P	AT1G19180, AT1G23080, AT1G42540, AT1G64660, AT1G70810, AT1G70940, AT2G01420, AT2G25110, AT2G36830, AT3G18040, AT3G20770, AT3G51550, AT4G02380, AT4G18710, AT4G26160, AT4G35290, AT5G18080, AT5G43700, AT5G54380, AT5G65980	TI10A_ARATH, PIN7_ARATH, GLR33_ARATH, MGL_ARATH, CAR7_ARATH, PIN3_ARATH, PIN4_ARATH, SDF2_ARATH, TIP11_ARATH, MPK9_ARATH, EIN3_ARATH, FERON_ARATH, SAG21_ARATH, KSG7_ARATH, TRL21_ARATH, GLR32_ARATH, SAU24_ARATH, IAA4_ARATH, THE1_ARATH, PILS7_ARATH
GO:0010410	hemicellulose metabolic process	97	6	0.49	9.9e-06	2.697e-03	P	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810	XTH33_ARATH, XTH28_ARATH, XTH30_ARATH, XTH15_ARATH, XTH29_ARATH, XTH23_ARATH
